"","zcta","total population","Death Count","non-Hisp White","non-Hisp Black","Hisp or Latino","Poverty","Edu1","male1","male2","male3","male4","male5","male6","male7","male8","female1","female2","female3","female4","female5","female6","female7","female8"
"1015",94513,54605,277.333333333333,29793,3227,14845,3504,3466,1926,5048,4927,5743,5209,1903,1211,608,1837,4885,4874,6432,5203,2333,1557,909
"1016",94514,1360,18.3333333333333,711,60,523,91,111,41,101,213,118,140,79,18,12,43,109,125,136,128,57,23,17
"1017",94515,7050,62.6666666666667,3909,25,2897,820,649,211,397,630,708,730,467,241,167,191,395,531,612,719,493,299,259
"1018",94516,211,1.33333333333333,186,2,2,0,0,5,15,24,16,33,17,5,1,3,12,20,14,25,17,2,2
"1019",94517,12385,73.3333333333333,9786,184,1176,489,377,260,929,903,999,1676,786,370,156,265,902,804,1111,1767,831,386,240
"1020",94518,26778,214,15266,784,6153,2843,1613,849,1594,2562,2812,3017,1309,654,429,748,1462,2288,2729,3275,1480,878,692
"1021",94519,18453,144.666666666667,10863,450,4517,1085,1124,591,1098,1912,2017,2119,795,390,277,602,1040,1749,1923,2056,918,501,465
"1022",94520,37208,219.333333333333,11097,1691,19684,6798,5890,1746,2513,5112,4935,3135,1061,469,284,1575,2387,4356,4127,3090,1178,641,599
"1023",94521,41249,313,25342,1081,7239,2812,1967,1141,2469,3782,3974,4843,1975,1058,539,1137,2566,3709,4147,5298,2390,1320,901
"1024",94523,33569,285,22776,665,4045,2828,1371,925,1902,3474,3328,3750,1642,725,530,907,1717,3122,3486,4151,1830,959,1121
"1025",94525,3127,28.6666666666666,2226,146,494,362,203,67,124,282,287,447,180,92,51,66,120,285,286,454,198,107,81
"1026",94526,31102,215.666666666667,25002,222,2137,1418,538,740,2449,2116,2294,4034,1953,965,541,714,2367,1827,2751,4377,2143,1007,824
"1027",94528,964,7.66666666666667,873,0,32,0,43,7,80,59,37,134,74,55,26,13,72,51,51,151,70,50,34
"1028",94530,23877,213.666666666667,11534,1813,2672,1753,1233,737,1133,1795,2676,2534,1340,699,558,605,1057,1692,2749,2882,1531,937,952
"1029",94531,40290,155.666666666667,11801,8707,10249,3596,2232,1341,3616,4361,3816,4490,1258,448,217,1287,3417,4454,4572,4682,1276,612,443
"1030",94533,69277,507,20581,11801,22711,10048,8018,2707,5184,8267,6838,6461,2274,1411,805,2575,4987,7827,6974,6954,2719,1870,1424
"1031",94534,36416,168.333333333333,17271,3897,6112,1308,1311,1111,2651,3364,3510,4264,1747,798,412,1072,2571,3307,3831,4524,1770,883,601
"1032",94535,3793,4,2132,431,592,169,20,248,322,1124,377,50,8,0,0,251,327,634,380,59,9,3,1
"1033",94536,68790,365.666666666667,23179,2584,12494,3663,4733,2696,4484,6355,8465,7175,2657,1397,790,2504,4261,6422,8323,7227,2895,1742,1397
"1034",94538,61148,292.333333333333,16899,2392,13640,3771,5411,2411,3674,6662,8413,5921,1939,1056,627,2246,3443,6480,7574,6026,2156,1478,1042
"1035",94539,50031,182,10533,556,2361,1885,1659,1301,4321,3937,4722,6850,2120,1099,457,1235,4086,3487,5625,6592,2155,1313,731
"1036",94541,61635,416.333333333333,14242,8541,27761,9003,8552,2420,4226,6919,7220,5955,2167,961,726,2309,4062,6647,6852,6140,2414,1311,1306
"1037",94542,12717,54,4443,1794,2576,1837,696,344,580,1801,1187,1330,599,236,119,292,624,1998,1177,1339,633,269,189
"1038",94544,73026,438.333333333333,11684,7745,33818,10004,10569,3024,5190,8911,8331,6504,2380,1155,750,2863,5141,8472,7933,6856,2560,1696,1260
"1039",94545,29707,206.666666666667,4982,2678,9145,2011,3857,988,1950,3281,3017,3014,1288,666,386,968,1775,3099,3049,3153,1485,939,649
"1040",94546,42209,380.333333333334,22787,2331,7949,3698,2660,1221,2661,3800,3867,4947,1961,971,791,1101,2658,3684,4388,5162,2158,1276,1563
"1041",94547,24092,101.666666666667,4030,4452,3514,1277,774,687,1555,2374,2310,2648,1211,448,183,700,1434,2300,2711,3186,1411,615,319
"1042",94548,412,6.33333333333333,271,7,117,46,12,11,28,43,41,61,21,16,8,9,18,35,36,45,20,16,4
"1043",94549,26864,195.333333333333,21679,185,1571,630,602,656,2007,1816,2026,3394,1776,808,563,638,1916,1688,2285,3739,1787,900,865
"1044",94550,46896,308,32958,825,7821,2247,1747,1429,3420,4013,4483,5838,2166,1084,638,1367,3344,3800,4869,5752,2348,1287,1058
"1045",94551,36867,126.666666666667,21633,760,9444,2588,2552,1374,2583,3863,4414,4275,1340,496,214,1291,2527,3532,4299,4228,1433,615,383
"1046",94552,14454,65.3333333333334,6430,569,1367,225,605,402,1067,1029,1213,2057,761,352,145,360,1061,1019,1489,2150,777,373,199
"1047",94553,47065,328.333333333333,31974,1513,7668,3687,2831,1225,2630,4651,4612,6053,2459,1060,525,1202,2605,4045,4693,6491,2688,1255,871
"1048",94555,34143,104.333333333333,6172,1211,3208,1970,2011,1460,2647,2662,4625,3362,1301,625,241,1408,2573,2471,4807,3353,1552,685,371
"1049",94556,15229,121.666666666667,11142,163,915,704,190,290,1098,1261,824,1874,925,598,389,274,988,1353,1058,2077,1023,630,567
"1050",94558,66830,607,41513,560,21625,6768,8602,2015,4438,6453,6309,7397,3708,1923,1206,1797,4211,5731,5992,7407,3929,2265,2049
"1051",94559,27184,177,15080,148,10698,3303,3893,949,1816,3061,3060,2800,1139,499,316,964,1669,2759,2872,2829,1216,608,627
"1052",94560,42573,206,11726,1908,14994,2722,4019,1662,2996,4515,4753,4335,1653,915,388,1480,2793,4305,4816,4407,1809,1157,589
"1053",94561,36515,153.666666666667,17497,2489,12678,3080,3456,1410,3169,4147,3898,3726,1148,467,218,1336,3086,4021,4017,3718,1216,597,341
"1054",94563,17672,125.666666666667,13926,142,808,299,185,391,1413,1040,1099,2241,1273,657,469,414,1386,901,1353,2445,1253,744,593
"1055",94564,18287,143.666666666667,6792,2385,3997,1520,1689,459,1061,1808,1485,2100,963,516,298,469,966,1762,1702,2370,1184,625,519
"1056",94565,84641,464.333333333333,17084,13086,38571,15745,12227,3434,6635,10166,8877,7788,2739,1251,589,3503,6400,9825,8989,8575,3211,1648,1011
"1057",94566,40884,233.333333333333,26870,547,4369,1737,1525,1076,3290,3256,3521,5509,1835,942,467,1024,3197,3028,4051,5534,2040,1168,946
"1058",94567,623,6,426,1,157,37,138,14,38,54,61,76,40,11,8,17,49,50,60,80,46,13,6
"1059",94568,46016,118.666666666667,20374,4214,6660,1393,2273,1735,2829,5172,6988,4714,1523,785,226,1666,2672,4032,6475,4524,1602,723,350
"1060",94569,198,3.66666666666666,167,3,10,0,28,0,5,14,16,34,19,6,3,1,5,21,9,35,16,7,7
"1061",94571,7911,85,5797,360,1094,679,423,155,359,455,465,755,864,553,235,150,360,414,496,850,976,593,231
"1062",94572,8684,54,2867,1364,2137,1096,872,261,645,891,762,958,427,194,101,259,577,864,854,1034,461,249,147
"1063",94573,94,3,54,0,38,0,0,1,7,8,7,15,6,3,3,2,7,6,6,14,3,4,2
"1064",94574,8742,64.6666666666666,5819,32,2577,522,734,200,519,729,737,908,583,331,181,221,514,674,735,1037,665,339,369
"1065",94575,974,0.333333333333333,515,101,213,47,4,0,0,356,11,3,10,6,5,0,0,573,9,1,0,0,0
"1066",94576,164,3.33333333333333,121,1,30,0,0,1,5,11,11,23,12,7,0,2,7,12,23,24,16,6,4
"1067",94577,45560,370.333333333334,13247,5671,13364,3885,5134,1440,2825,4286,4678,4907,1991,973,751,1466,2729,4071,4972,5352,2311,1360,1448
"1068",94578,38558,247.333333333333,8315,7560,13109,6007,5448,1436,2504,4474,4197,3669,1425,617,434,1443,2505,4368,4326,4020,1540,804,796
"1069",94579,20571,153.666666666667,5431,1308,4377,1591,2416,593,1337,1913,1919,2274,947,541,405,562,1274,1766,2121,2440,1105,737,637
"1070",94580,27152,202.333333333333,8114,1613,9782,2109,3878,869,1863,2846,2792,2908,1007,562,414,802,1791,2780,2877,3056,1173,711,701
"1071",94582,38537,51.6666666666667,14666,1162,2563,1920,550,1851,3896,2275,5461,3779,1085,465,122,1719,3673,2385,6256,3595,1288,498,189
"1072",94583,34859,163.666666666667,20936,831,3747,567,747,1170,2690,2940,3744,4153,1575,594,270,1054,2522,2851,4003,4339,1664,690,600
"1073",94585,28263,134,8350,5513,6794,2485,2579,1149,2194,3230,2841,2915,1039,423,183,966,2034,3282,2921,3154,1111,536,285
"1074",94586,925,7.33333333333333,729,1,88,28,34,10,46,76,72,142,76,34,10,17,41,63,64,156,86,23,9
"1075",94587,69516,346.666666666667,10009,4194,15895,5272,6347,2477,4764,7457,7542,6895,3006,1445,732,2269,4324,7057,7770,7425,3325,1758,1270
"1076",94588,30842,101.333333333333,17004,584,3016,1139,829,953,2574,2621,3296,3885,1190,531,221,902,2387,2502,3628,3839,1357,648,308
"1077",94589,29876,248.333333333333,4699,7139,8381,4467,3441,1036,2069,3281,2732,3023,1354,668,379,951,1930,3124,2800,3328,1575,892,734
"1078",94590,35420,311.666666666667,10608,8572,9663,7712,4671,1292,2194,4099,3379,3642,1521,717,370,1281,2145,3891,3480,3993,1753,896,767
"1079",94591,53042,376.666666666667,14321,9629,9136,5685,3900,1600,3338,5563,4872,5970,2732,1113,584,1591,3196,5298,5030,6711,2951,1377,1116
"1080",94592,742,3,254,81,89,23,5,23,47,80,85,84,29,10,6,34,34,102,89,78,28,13,0
"1081",94595,16425,432.333333333334,13740,174,782,458,639,237,549,564,727,1095,954,1029,1548,192,489,542,793,1333,1489,1803,3081
"1082",94596,20037,143,14406,424,2331,966,632,433,1035,2193,2196,2190,1016,498,341,462,961,2096,2092,2283,1123,535,583
"1083",94597,20277,119,13802,465,2174,1019,449,584,935,1997,2466,2137,917,429,285,599,855,2035,2421,2336,1127,600,554
"1084",94598,25818,241,18870,276,1698,938,405,545,1677,1804,1924,3065,1546,1079,695,521,1601,1676,2255,3365,1778,1241,1046
"1085",94599,3021,131,2542,36,297,150,206,35,67,130,168,266,300,328,441,32,66,106,155,270,212,197,248
"1086",94601,50294,290,3933,8833,27039,14409,11828,2166,3745,6798,6347,4144,1471,742,407,2039,3483,5963,5499,4188,1658,895,749
"1087",94602,28329,200.333333333333,11443,4923,3906,2459,2489,988,1499,2015,3109,3112,1442,635,380,881,1558,2181,3564,3757,1805,763,640
"1088",94603,31403,210.333333333333,819,11598,16523,8083,7157,1430,2660,3938,3533,2453,774,408,234,1393,2590,3842,3426,2725,1002,542,453
"1089",94605,39016,291,5789,20171,8675,7283,4717,1364,2451,3828,3767,3794,1815,843,435,1285,2417,3946,4277,4661,2252,1107,774
"1090",94606,36672,233,5560,6886,7256,8927,7578,1144,1885,4243,4596,3639,1384,730,423,1057,1830,4401,4548,3720,1485,885,702
"1091",94607,24978,200.333333333333,4115,9445,3143,6498,4199,740,1260,2975,3171,2561,959,546,373,748,1124,2879,2907,2379,1043,743,570
"1092",94608,28019,195.333333333333,8690,10015,3409,4273,1942,710,1069,3482,4071,2766,1061,482,242,679,1118,3431,3901,2657,1248,581,521
"1093",94609,20596,142.666666666667,8711,6694,2337,3791,1542,543,773,2447,3073,1825,732,239,167,519,747,2883,3122,1890,832,373,431
