"","ZIP","AGE.SEX","Death"
"516",90035,4,2.33333333333333
"517",90035,5,12
"518",90035,6,10.3333333333333
"519",90035,7,17
"520",90035,8,47
"521",90035,9,1
"522",90035,10,0.333333333333333
"523",90035,11,0.666666666666667
"524",90035,12,2
"525",90035,13,3.66666666666667
"526",90035,14,10
"527",90035,15,14.6666666666667
"528",90035,16,79.6666666666667
"529",90036,1,0.666666666666667
"530",90036,2,0
"531",90036,3,1.66666666666667
"532",90036,4,5.33333333333333
"533",90036,5,10.6666666666667
"534",90036,6,14
"535",90036,7,15
"536",90036,8,52.3333333333333
"537",90036,9,0.666666666666667
"538",90036,10,0
"539",90036,11,0.666666666666667
"540",90036,12,2.66666666666667
"541",90036,13,8
"542",90036,14,10.6666666666667
"543",90036,15,10.3333333333333
"544",90036,16,82
"545",90037,1,4.66666666666667
"546",90037,2,1.33333333333333
"547",90037,3,8.33333333333333
"548",90037,4,15
"549",90037,5,34
"550",90037,6,28
"551",90037,7,24.6666666666667
"552",90037,8,23.6666666666667
"553",90037,9,6.33333333333333
"554",90037,10,1.33333333333333
"555",90037,11,3
"556",90037,12,6.33333333333333
"557",90037,13,26.6666666666667
"558",90037,14,20.6666666666667
"559",90037,15,24
"560",90037,16,48.3333333333333
"561",90038,1,0.666666666666667
"562",90038,2,0
"563",90038,3,4
"564",90038,4,8.33333333333333
"565",90038,5,15.3333333333333
"566",90038,6,11.6666666666667
"567",90038,7,9
"568",90038,8,15.3333333333333
"569",90038,9,1
"570",90038,10,0.333333333333333
"571",90038,11,1.66666666666667
"572",90038,12,3.66666666666667
"573",90038,13,6.66666666666667
"574",90038,14,4.66666666666667
"575",90038,15,6.33333333333333
"576",90038,16,25.3333333333333
"577",90039,1,1.66666666666667
"578",90039,2,0
"579",90039,3,2
"580",90039,4,6
"581",90039,5,15.6666666666667
"582",90039,6,17
"583",90039,7,18.3333333333333
"584",90039,8,39
"585",90039,9,0.666666666666667
"586",90039,10,0.666666666666667
"587",90039,11,1
"588",90039,12,0.666666666666667
"589",90039,13,8
"590",90039,14,7
"591",90039,15,15.6666666666667
"592",90039,16,52
"593",90040,1,0.333333333333333
"594",90040,2,0.333333333333333
"595",90040,3,2
"596",90040,4,3
"597",90040,5,8
"598",90040,6,5.33333333333333
"599",90040,7,7
"600",90040,8,14
"601",90040,9,0.666666666666667
"602",90040,10,0
"603",90040,11,0.333333333333333
"604",90040,12,1
"605",90040,13,3.33333333333333
"606",90040,14,5.66666666666667
"607",90040,15,6
"608",90040,16,20
"609",90041,1,0.333333333333333
"610",90041,2,0
"611",90041,3,1.66666666666667
"612",90041,4,7
"613",90041,5,9.66666666666667
"614",90041,6,10.6666666666667
