,zcta
1465,95627
1466,95628
1467,95629
1468,95630
1469,95631
1470,95632
1471,95633
1472,95634
1473,95635
1474,95636
1475,95637
1476,95638
1477,95639
1478,95640
1479,95641
1480,95642
1481,95645
1482,95646
1483,95648
1484,95650
1485,95651
1486,95652
1487,95653
1488,95655
1489,95658
1490,95659
1491,95660
1492,95661
1493,95662
1494,95663
1495,95664
1496,95665
1497,95666
1498,95667
1499,95668
1500,95669
1501,95670
1502,95672
1503,95673
1504,95674
1505,95675
1506,95677
1507,95678
1508,95679
1509,95680
1510,95681
1511,95682
1512,95683
1513,95684
1514,95685
1515,95686
1516,95687
1517,95688
1518,95689
1519,95690
1520,95691
1521,95692
1522,95693
1523,95694
1524,95695
1525,95697
1526,95698
1527,95699
1528,95701
1529,95703
1530,95709
1531,95713
1532,95714
1533,95715
1534,95717
1535,95720
1536,95721
1537,95722
1538,95724
1539,95726
1540,95728
1541,95735
1542,95736
1543,95742
1544,95746
1545,95747
1546,95757
1547,95758
1548,95762
1549,95765
1550,95776
1551,95811
1552,95814
1553,95815
1554,95816
1555,95817
1556,95818
1557,95819
1558,95820
1559,95821
1560,95822
1561,95823
1562,95824
1563,95825
1564,95826
1565,95827
1566,95828
1567,95829
1568,95830
1569,95831
1570,95832
1571,95833
1572,95834
1573,95835
1574,95837
1575,95838
1576,95841
1577,95842
1578,95843
1579,95864
1580,95901
1581,95903
1582,95910
1583,95912
1584,95914
1585,95915
1586,95916
1587,95917
1588,95918
1589,95919
1590,95920
1591,95922
1592,95923
1593,95925
1594,95926
1595,95928
1596,95930
1597,95932
1598,95934
1599,95935
1600,95936
1601,95937
1602,95938
1603,95939
1604,95941
1605,95942
1606,95943
1607,95944
1608,95945
1609,95946
1610,95947
1611,95948
1612,95949
1613,95950
1614,95951
1615,95953
1616,95954
1617,95955
1618,95956
1619,95957
1620,95959
1621,95960
1622,95961
1623,95962
1624,95963
1625,95965
1626,95966
1627,95968
1628,95969
1629,95970
1630,95971
1631,95973
1632,95974
1633,95975
1634,95977
1635,95978
1636,95979
1637,95981
1638,95982
1639,95983
1640,95984
1641,95986
1642,95987
1643,95988
1644,95991
1645,95993
1646,96001
1647,96002
1648,96003
1649,96006
1650,96007
1651,96008
1652,96009
1653,96010
1654,96011
1655,96013
1656,96014
1657,96015
1658,96016
1659,96017
1660,96019
1661,96020
1662,96021
1663,96022
1664,96023
1665,96024
1666,96025
1667,96027
1668,96028
1669,96029
1670,96031
1671,96032
1672,96033
1673,96034
1674,96035
1675,96037
1676,96038
1677,96039
1678,96040
1679,96041
1680,96044
1681,96046
1682,96047
1683,96048
1684,96049
1685,96050
1686,96051
1687,96052
1688,96054
1689,96055
1690,96056
1691,96057
1692,96058
1693,96059
1694,96061
1695,96062
1696,96063
1697,96064
1698,96065
1699,96067
1700,96068
1701,96069
1702,96071
1703,96073
1704,96074
1705,96075
1706,96076
1707,96080
1708,96084
1709,96085
1710,96086
1711,96087
1712,96088
1713,96090
1714,96091
1715,96092
1716,96093
1717,96094
1718,96096
1719,96097
1720,96101
1721,96103
1722,96104
1723,96105
1724,96106
1725,96107
1726,96108
1727,96109
1728,96110
1729,96111
1730,96112
1731,96113
1732,96114
1733,96115
1734,96116
1735,96117
1736,96118
1737,96119
1738,96120
1739,96121
1740,96122
1741,96123
1742,96124
1743,96125
1744,96126
1745,96128
1746,96129
1747,96130
1748,96132
1749,96133
1750,96134
1751,96135
1752,96136
1753,96137
1754,96140
1755,96141
1756,96142
1757,96143
1758,96145
1759,96146
1760,96148
1761,96150
1762,96155
1763,96161
