"","GEOID","Pop2010","AnnualDeathPerCap","BothShareUnder30","BothShare30To60","BothShareOver50","BothShareOver60","BothShareOver70","BothShareOver80","WhiteShare","BlackShare","HispanicShare","Edu1Share","Edu1to2Share","PovertyShare","Poverty2Share","Income_Less20KShare","Income_Less30KShare","Income_Less40KShare","Income_Less50KShare","Income_Less60KShare","Income_Less75KShare","Income_Less100KShare","UnemployedShare"
"490","92342",6379,0.0108167424361185,0.328734911428123,0.37654804828343,0.436432042639912,0.294717040288446,0.146888226994827,0.0492240163034958,0.689920050164603,0.0520457751998746,0.193917541934472,0.0592272496187087,0.31825114387392,0.162473593239869,0.200115229498752,0.129445234708393,0.208629682313893,0.276908487434803,0.313418681839734,0.464675201517307,0.576102418207681,0.757705073494547,0.0189518015910154
"491","92344",20769,0.00340250694143515,0.486735037796716,0.406230439597477,0.225913621262458,0.107034522605807,0.0388559872887477,0.0111704944869758,0.431749241658241,0.0633155183205739,0.439067841494535,0.164855229980002,0.464307451525954,0.14055390702275,0.334817012858556,0.100258493353028,0.151033973412112,0.217688330871492,0.313700147710487,0.382200886262925,0.533050221565731,0.721381093057607,0.117572066010341
"492","92345",78715,0.00740223167968832,0.484227910817506,0.373943975100044,0.261551165597408,0.141828114082449,0.0654131995172458,0.0238709267611002,0.429752906053484,0.0481102712316585,0.480175316013466,0.242583526970018,0.571322218963611,0.201932785230059,0.459436423953949,0.179207479964381,0.311576135351736,0.431166518254675,0.52520035618878,0.619100623330365,0.710195903829029,0.845948352626892,0.107408803000126
"493","92346",54923,0.00611765562696867,0.445860568432169,0.404220454090272,0.284088633177357,0.14991897747756,0.0673124192050689,0.0225406478160334,0.373104164011434,0.112302678295068,0.4061322214737,0.205556197296985,0.45948365484579,0.168315067272565,0.344756304018533,0.124722671943395,0.219164118246687,0.293817832943575,0.398932661749715,0.467590094141632,0.561611800683576,0.713977334052887,0.0665740718943478
"494","92347",1692,0.0100472813238771,0.418439716312057,0.385933806146572,0.349290780141844,0.195626477541371,0.0833333333333333,0.0212765957446809,0.533687943262411,0.0283687943262411,0.401300236406619,0.177389705882353,0.499080882352941,0.336557059961315,0.50354609929078,0.34525939177102,0.483005366726297,0.565295169946333,0.613595706618962,0.699463327370304,0.881932021466905,0.955277280858676,0.0191131498470948
"495","92352",8004,0.0058304181242712,0.344202898550725,0.413668165917041,0.427161419290355,0.242128935532234,0.0922038980509745,0.0219890054972514,0.772863568215892,0.00774612693653173,0.176911544227886,0.046044370029301,0.27668480535789,0.116424751718869,0.300840336134454,0.154709418837675,0.229258517034068,0.32625250501002,0.383166332665331,0.418837675350701,0.490581162324649,0.644488977955912,0.0515539305301645
"496","92354",21559,0.00923048378867295,0.437960944385176,0.364627301822905,0.312259381232896,0.19741175379192,0.112667563430586,0.0615056356973886,0.3544691312213,0.080244909318614,0.222180991697203,0.14867562890989,0.278184480234261,0.128468355043339,0.274853517989444,0.175343943889938,0.268276234151605,0.361343404370111,0.427569463177772,0.485163204747774,0.579174534664149,0.710682492581602,0.0449147295547926
"497","92356",6455,0.0121352956364575,0.36855151045701,0.402168861347792,0.400154918667699,0.229279628195198,0.107203718048025,0.0336173508907823,0.66584043377227,0.0289697908597986,0.249109217660728,0.193620343519964,0.58175329020745,0.214421553090333,0.577654516640254,0.370088719898606,0.570764681030841,0.644697929869033,0.726235741444867,0.777777777777778,0.827629911280101,0.929869032530629,0.0995587953193938
"498","92358",707,0.0103724658180104,0.231966053748232,0.45968882602546,0.565770862800566,0.308345120226308,0.13012729844413,0.0353606789250354,0.787835926449788,0.00848656294200849,0.142857142857143,0,0.162740899357602,0.0448979591836735,0.259863945578231,0.143459915611814,0.194092827004219,0.476793248945148,0.476793248945148,0.476793248945148,0.641350210970464,0.852320675105485,0.0658307210031348
"499","92359",8103,0.00666419844502036,0.442675552264593,0.416018758484512,0.277181290879921,0.141305689250895,0.0649142292977909,0.0262865605331359,0.529556954214488,0.0434407009749476,0.353572750833025,0.16951483009232,0.444509919465724,0.0766607556949939,0.305415359432547,0.15659543109801,0.238393515106853,0.323139277818718,0.448047162859248,0.609064112011791,0.671333824613117,0.828297715549005,0.0396172570085614
